// 0:í èÌBase~99,1:ì]ê∂Base~99,2:í èÌBase~200,3:ì]ê∂Base~200,4:í èÌBase200~,5:ì]ê∂Base200~,6:Job-NV,7:Job-1éüêE,8:Job-2éüêE,9:Job-SNV,10:Job-ì]ê∂NV,11:Job-ì]ê∂1éüêE,12:Jobì]ê∂2éüêE,13:Job-SG,14:Job-GS/NJ,15:Job-3éüêE,16-Job-SU,17:Job-4éüêE
0,0,0,0,1857889383842570,1857889383842570,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1895047171519420,1895047171519420,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1932948114949810,1932948114949810,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1971607077248810,1971607077248810,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2011039218793780,2011039218793780,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2051260003169660,2051260003169660,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2092285203233050,2092285203233050,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2134130907297710,2134130907297710,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2176813525443670,2176813525443670,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2220349795952540,2220349795952540,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2264756791871590,2264756791871590,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2310051927709030,2310051927709030,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2356252966263210,2356252966263210,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2403378025588470,2403378025588470,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2451445586100240,2451445586100240,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2500474497822240,2500474497822240,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2550483987778690,2550483987778690,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2601493667534260,2601493667534260,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2653523540884950,2653523540884950,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2706594011702650,2706594011702650,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2760725891936700,2760725891936700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2815940409775430,2815940409775430,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2872259217970940,2872259217970940,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2929704402330360,2929704402330360,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2988298490376970,2988298490376970,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3048064460184510,3048064460184510,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3109025749388200,3109025749388200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3171206264375960,3171206264375960,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3234630389663480,3234630389663480,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3299322997456750,3299322997456750,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3365309457405890,3365309457405890,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3432615646554010,3432615646554010,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3501267959485090,3501267959485090,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3571293318674790,3571293318674790,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3642719185048280,3642719185048280,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3715573568749250,3715573568749250,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3789885040124230,3789885040124230,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3865682740926720,3865682740926720,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3942996395745250,3942996395745250,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4021856323660160,4021856323660160,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4102293450133360,4102293450133360,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4184339319136030,4184339319136030,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4268026105518750,4268026105518750,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4353386627629120,4353386627629120,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4440454360181710,4440454360181710,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4529263447385340,4529263447385340,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4619848716333050,4619848716333050,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4712245690659710,4712245690659710,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4806490604472900,4806490604472900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4902620416562360,4902620416562360,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5000672824893610,5000672824893610,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5100686281391480,5100686281391480,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5202700007019310,5202700007019310,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5306754007159700,5306754007159700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5412889087302890,5412889087302890,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5521146869048950,5521146869048950,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5631569806429930,5631569806429930,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5744201202558530,5744201202558530,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5859085226609700,5859085226609700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5976266931141890,5976266931141890,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6095792269764730,6095792269764730,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6217708115160020,6217708115160020,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6342062277463220,6342062277463220,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6468903523012490,6468903523012490,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6598281593472740,6598281593472740,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6730247225342190,6730247225342190,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6864852169849040,6864852169849040,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7002149213246020,7002149213246020,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7142192197510940,7142192197510940,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7285036041461160,7285036041461160,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7430736762290380,7430736762290380,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7579351497536190,7579351497536190,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7730938527486910,7730938527486910,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7885557298036650,7885557298036650,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8043268443997390,8043268443997390,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8204133812877330,8204133812877330,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8368216489134880,8368216489134880,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8535580818917580,8535580818917580,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8706292435295930,8706292435295930,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8880418284001850,8880418284001850,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9058026649681890,9058026649681890,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9239187182675520,9239187182675520,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9423970926329030,9423970926329030,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9612450344855610,9612450344855610,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9804699351752730,9804699351752730,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10000793338787800,10000793338787800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10200809205563500,10200809205563500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10404825389674800,10404825389674800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10612921897468300,10612921897468300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,10825180335417700,10825180335417700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11041683942126000,11041683942126000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11262517620968500,11262517620968500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11487767973387900,11487767973387900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11717523332855700,11717523332855700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11951873799512800,11951873799512800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12190911275503000,12190911275503000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12434729501013100,12434729501013100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12683424091033400,12683424091033400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12937092572854000,12937092572854000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13195834424311100,13195834424311100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13459751112797300,13459751112797300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13728946135053300,13728946135053300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14003525057754300,14003525057754300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14283595558909400,14283595558909400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14569267470087600,14569267470087600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14860652819489400,14860652819489400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15157865875879200,15157865875879200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15461023193396700,15461023193396700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,15770243657264700,15770243657264700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16085648530410000,16085648530410000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16407361501018200,16407361501018200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16735508731038500,16735508731038500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17070218905659300,17070218905659300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17411623283772500,17411623283772500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,17759855749448000,17759855749448000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18115052864436900,18115052864436900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18477353921725600,18477353921725600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18846901000160200,18846901000160200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19223839020163400,19223839020163400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19608315800566600,19608315800566600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20000482116578000,20000482116578000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20400491758909500,20400491758909500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20808501594087700,20808501594087700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,21224671625969500,21224671625969500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,21649165058488900,21649165058488900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22082148359658600,22082148359658600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22523791326851800,22523791326851800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22974267153388800,22974267153388800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23433752496456600,23433752496456600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23902427546385800,23902427546385800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,24380476097313500,24380476097313500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,24868085619259700,24868085619259700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25365447331644900,25365447331644900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25872756278277800,25872756278277800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,26390211403843400,26390211403843400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,26918015631920300,26918015631920300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,27456375944558700,27456375944558700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,28005503463449800,28005503463449800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,28565613532718800,28565613532718800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29136925803373200,29136925803373200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29719664319440700,29719664319440700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30314057605829500,30314057605829500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,30920338757946100,30920338757946100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31538745533105000,31538745533105000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,32169520443767100,32169520443767100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,32812910852642400,32812910852642400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,33469169069695300,33469169069695300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,34138552451089200,34138552451089200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,34821323500111000,34821323500111000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,35517749970113200,35517749970113200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36228104969515500,36228104969515500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36952667068905800,36952667068905800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,37691720410283900,37691720410283900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,38445554818489600,38445554818489600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,39214465914859400,39214465914859400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,39998755233156600,39998755233156600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40798730337819700,40798730337819700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,41614704944576100,41614704944576100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,42446999043467600,42446999043467600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,43295939024337000,43295939024337000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,44161857804823700,44161857804823700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45045094960920200,45045094960920200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45945996860138600,45945996860138600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,46864916797341300,46864916797341300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,47802215133288200,47802215133288200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48758259435953900,48758259435953900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,49733424624673000,49733424624673000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50728093117166500,50728093117166500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,51742654979509800,51742654979509800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52777508079100000,52777508079100000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,53833058240682000,53833058240682000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,54909719405495700,54909719405495700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56007913793605600,56007913793605600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,57128072069477700,57128072069477700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58270633510867200,58270633510867200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59436046181084600,59436046181084600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,60624767104706300,60624767104706300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61837262446800400,61837262446800400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,63074007695736400,63074007695736400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64335487849651100,64335487849651100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,65622197606644200,65622197606644200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66934641558777000,66934641558777000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68273334389952600,68273334389952600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,69638801077751600,69638801077751600,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,71031577099306700,71031577099306700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,72452208641292800,72452208641292800,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,73901252814118700,73901252814118700,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,75379277870401000,75379277870401000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,76886863427809000,76886863427809000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,78424600696365200,78424600696365200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,79993092710292500,79993092710292500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,81592954564498400,81592954564498400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,83224813655788400,83224813655788400,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,84889309928904100,84889309928904100,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,86587096127482200,86587096127482200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,88318838050031900,88318838050031900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,90085214811032500,90085214811032500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,91886919107253200,91886919107253200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,93724657489398200,93724657489398200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,95599150639186200,95599150639186200,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,97511133651969900,97511133651969900,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,99461356325009300,99461356325009300,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,101450583451510000,101450583451510000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,103479595120540000,103479595120540000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,105549187022951000,105549187022951000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,107660170763410000,107660170763410000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,109813374178678000,109813374178678000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,112009641662251000,112009641662251000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,114249834495496000,114249834495496000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,116534831185406000,116534831185406000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,118865527809114000,118865527809114000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,121242838365297000,121242838365297000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,123667695132603000,123667695132603000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,126141049035255000,126141049035255000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,128663870015960000,128663870015960000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,131237147416279000,131237147416279000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,133861890364604000,133861890364604000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,136539128171897000,136539128171897000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,139269910735335000,139269910735335000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,142055308950041000,142055308950041000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,144896415129042000,144896415129042000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,147794343431623000,147794343431623000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,150750230300255000,150750230300255000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,153765234906260000,153765234906260000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,156840539604386000,156840539604386000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,159977350396473000,159977350396473000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,163176897404403000,163176897404403000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,166440435352491000,166440435352491000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,169769244059541000,169769244059541000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,173164628940732000,173164628940732000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,176627921519546000,176627921519546000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,180160479949937000,180160479949937000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,183763689548936000,183763689548936000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,187438963339915000,187438963339915000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,191187742606713000,191187742606713000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,195011497458847000,195011497458847000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,198911727408024000,198911727408024000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,202889961956185000,202889961956185000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,206947761195308000,206947761195308000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,211086716419214000,211086716419214000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,215308450747599000,215308450747599000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,219614619762551000,219614619762551000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,224006912157802000,224006912157802000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,228487050400958000,228487050400958000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,233056791408977000,233056791408977000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,237717927237156000,237717927237156000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,242472285781900000,242472285781900000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,247321731497538000,247321731497538000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,252268166127488000,252268166127488000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,257313529450038000,257313529450038000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,262459800039039000,262459800039039000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,267708996039820000,267708996039820000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,273063175960616000,273063175960616000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,278524439479828000,278524439479828000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,284094928269425000,284094928269425000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,289776826834813000,289776826834813000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,295572363371510000,295572363371510000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,301483810638940000,301483810638940000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,307513486851719000,307513486851719000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,313663756588753000,313663756588753000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,319937031720528000,319937031720528000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,326335772354939000,326335772354939000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,332862487802037000,332862487802037000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,339519737558078000,339519737558078000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,346310132309240000,346310132309240000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,353236334955425000,353236334955425000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,360301061654533000,360301061654533000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,367507082887624000,367507082887624000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,374857224545376000,374857224545376000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,382354369036284000,382354369036284000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,390001456417010000,390001456417010000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,397801485545350000,397801485545350000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,405757515256257000,405757515256257000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,413872665561382000,413872665561382000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,422150118872610000,422150118872610000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,430593121250062000,430593121250062000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,439204983675063000,439204983675063000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,447989083348564000,447989083348564000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,456948865015535000,456948865015535000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,466087842315846000,466087842315846000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,475409599162163000,475409599162163000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,484917791145406000,484917791145406000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,494616146968315000,494616146968315000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,504508469907681000,504508469907681000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,514598639305834000,514598639305834000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,524890612091951000,524890612091951000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,535388424333790000,535388424333790000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,546096192820466000,546096192820466000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,557018116676875000,557018116676875000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,568158479010413000,568158479010413000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,579521648590621000,579521648590621000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,591112081562434000,591112081562434000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,602934323193682000,602934323193682000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,614993009657556000,614993009657556000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,627292869850707000,627292869850707000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,639838727247721000,639838727247721000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,652635501792676000,652635501792676000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,665688211828529000,665688211828529000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,679001976065100000,679001976065100000,0,0,0,0,0,0,0,0,0,0,0,0
